TreeID,TreePosX,TreePosY,TreePosZ,TreeHeight(metre),DBH(metre),CrownDiameter(metre),CrownDiameter(S-N)(metre),CrownDiameter(E-W)(metre),CrownArea(square metre),CrownVolume(cubic metre),OldID
1,230325.299,454302.405,0.897,22.8,0.384,6.3,7.1,6.4,31.7,204.9,67
2,230297.446,454339.444,0.836,26.6,0.558,6.8,7.7,6.8,36.0,260.5,18
3,230275.743,454361.814,0.870,23.4,0.599,7.5,7.3,8.7,44.2,362.8,32
4,230288.008,454333.299,0.881,25.1,0.540,8.2,8.1,8.8,53.3,363.7,36
5,230290.840,454347.683,0.829,23.4,0.662,8.6,8.5,9.3,57.8,444.8,22
6,230278.878,454356.560,0.858,10.0,0.220,4.0,4.1,4.3,12.3,49.6,10
7,230337.700,454372.551,0.483,13.5,0.081,8.8,10.5,8.2,60.4,379.3,2
8,230314.295,454332.228,0.847,26.4,0.570,6.8,6.3,7.6,35.8,296.5,45
9,230291.344,454344.630,0.711,8.0,0.526,4.9,5.8,4.9,19.0,44.9,9
10,230329.503,454362.623,0.855,26.6,0.466,7.7,8.1,8.6,46.2,369.8,12
11,230298.048,454336.809,0.845,22.7,0.511,6.5,7.0,6.5,32.9,239.8,70
12,230321.990,454306.384,0.810,27.2,0.617,8.7,9.5,8.9,60.1,491.2,24
13,230320.507,454324.119,0.832,28.5,0.582,8.9,8.0,10.3,61.8,496.1,35
14,230281.160,454364.399,0.850,24.6,0.528,8.1,7.9,8.7,52.0,361.5,71
15,230329.378,454354.536,0.846,24.7,0.581,7.0,6.3,7.8,38.4,384.5,33
16,230308.664,454313.667,0.885,23.5,0.617,8.9,8.9,9.9,62.2,483.8,58
17,230331.913,454323.133,0.890,27.0,0.516,8.2,8.7,8.4,53.2,448.9,21
18,230312.222,454286.916,0.849,25.2,0.621,9.0,8.6,9.8,63.1,473.5,64
19,230330.130,454344.917,1.163,3.1,0.315,4.2,6.1,3.1,14.0,27.1,38
20,230336.273,454345.031,0.861,23.1,0.580,8.9,8.4,8.8,62.0,471.3,27
21,230276.001,454343.438,0.859,25.9,0.476,6.8,6.6,7.3,36.5,243.3,85
22,230310.011,454325.860,0.839,23.9,0.530,6.3,6.6,6.9,31.0,211.1,28
23,230325.646,454344.401,0.966,4.4,1.242,3.9,4.5,4.1,11.8,24.3,50
24,230314.594,454370.134,1.247,4.1,0.275,2.1,2.0,2.5,3.6,9.2,136
25,230299.711,454335.021,0.825,27.1,0.594,7.1,6.7,8.7,39.9,317.9,34
26,230322.088,454357.136,0.806,7.2,0.463,4.8,5.8,5.0,18.3,54.6,82
27,230306.368,454300.128,0.834,29.7,0.595,6.9,6.6,7.6,37.0,281.3,25
28,230287.295,454355.654,0.910,22.9,0.483,7.7,7.1,8.7,46.6,280.8,77
29,230314.516,454318.901,0.810,22.1,0.536,8.7,8.3,9.0,59.2,475.5,41
30,230325.369,454290.710,0.884,26.8,0.484,6.3,5.7,6.7,31.3,253.7,74
31,230283.071,454354.637,0.873,23.7,0.521,7.8,7.3,8.8,48.2,348.5,91
32,230331.362,454329.287,0.920,24.6,0.462,8.2,8.5,8.8,52.4,351.3,46
33,230326.745,454358.987,0.877,26.5,0.503,6.2,6.6,7.0,30.3,247.6,73
34,230286.956,454290.072,0.349,4.8,0.142,11.1,15.4,14.7,96.8,226.4,251
35,230304.163,454298.046,0.845,29.0,0.548,8.3,8.9,8.3,53.9,356.1,75
36,230295.351,454296.758,0.829,23.4,0.404,6.9,6.4,8.3,37.9,276.3,95
37,230333.938,454293.819,0.843,25.7,0.665,9.8,9.4,10.2,74.8,704.4,29
38,230297.609,454371.047,0.734,5.3,0.212,2.2,2.8,2.3,3.8,12.0,107
39,230334.342,454325.345,0.858,27.3,0.573,8.0,8.4,8.9,49.9,410.3,44
40,230308.917,454298.387,0.827,25.5,0.561,7.4,7.1,8.5,42.6,325.2,76
41,230310.184,454367.532,0.813,4.7,0.573,2.3,2.6,2.3,4.3,12.6,179
42,230291.329,454296.851,0.848,25.4,0.559,7.4,6.5,8.6,42.5,317.2,48
43,230280.428,454343.904,0.878,24.1,0.498,7.7,6.8,8.6,46.0,283.2,83
44,230303.313,454357.524,0.827,5.6,0.673,1.7,1.7,2.1,2.3,8.0,252
45,230311.163,454368.409,0.838,4.2,0.521,1.3,1.1,1.6,1.3,2.5,177
46,230311.243,454366.881,1.229,3.8,0.359,1.7,1.6,2.3,2.2,4.6,152
47,230297.578,454294.043,0.817,23.4,0.557,7.2,7.4,8.1,41.0,324.2,65
48,230326.833,454286.502,0.928,25.4,0.433,6.3,5.5,7.8,31.4,238.4,244
49,230332.416,454288.246,0.844,26.0,0.553,8.2,7.7,8.6,52.9,369.4,60
50,230311.506,454364.676,0.980,4.0,0.458,1.7,2.2,1.7,2.3,4.0,148
51,230303.390,454318.890,1.237,3.3,0.687,2.8,3.0,2.9,6.1,16.3,229
52,230285.169,454327.256,0.906,24.0,0.585,7.6,7.3,9.5,45.6,360.6,55
53,230317.289,454289.733,0.852,24.8,0.505,7.2,6.8,8.2,40.8,314.7,92
54,230291.521,454316.671,0.780,3.1,0.402,1.8,3.0,2.0,2.4,2.8,283
55,230323.622,454345.511,1.235,4.5,0.181,2.3,2.5,2.9,4.3,12.0,191
56,230329.066,454299.366,0.887,25.3,0.561,9.3,10.0,9.7,67.6,552.7,238
57,230303.226,454317.684,0.838,3.6,0.432,1.8,2.1,1.8,2.6,6.1,273
58,230292.344,454307.877,0.369,4.1,0.202,7.0,7.6,9.7,38.2,48.5,324
59,230280.081,454369.321,0.847,25.5,0.466,5.7,5.4,6.4,25.4,179.0,88
60,230297.546,454370.184,1.117,4.4,0.187,2.2,2.7,2.0,4.0,9.5,294
61,230301.208,454356.866,0.888,4.1,1.279,2.5,2.6,2.5,5.1,14.6,307
62,230319.861,454284.975,0.848,24.6,0.501,8.1,8.4,9.1,51.5,331.6,89
63,230303.886,454358.245,1.144,4.9,0.524,1.9,1.5,2.5,2.9,8.0,215
64,230311.985,454365.415,1.099,4.6,0.710,2.1,1.9,2.9,3.4,6.1,293
65,230304.176,454356.595,0.887,4.1,0.265,1.9,2.2,1.8,2.7,5.6,280
66,230303.293,454285.329,1.132,3.3,1.561,5.4,6.3,4.6,22.8,27.8,278
67,230310.655,454366.670,1.276,4.0,0.810,1.4,1.9,1.4,1.6,3.5,323
68,230302.033,454381.568,1.294,4.1,0.174,3.3,2.9,4.6,8.6,16.3,341
69,230296.199,454371.331,0.400,4.5,0.785,3.5,4.6,3.0,9.8,26.8,173
70,230308.397,454457.493,0.893,24.5,0.559,6.9,6.4,7.6,37.8,278.9,365
71,230306.678,454361.752,1.166,3.4,2.075,2.3,2.5,2.4,4.2,8.7,313
72,230315.499,454369.740,1.092,4.6,1.826,3.2,2.8,3.9,7.9,15.4,297
73,230308.021,454374.629,0.957,3.5,1.734,3.3,4.3,3.6,8.4,18.8,268
74,230325.644,454345.596,1.136,3.4,0.754,2.3,2.6,2.2,4.2,9.4,314
75,230335.052,454388.406,0.862,20.6,0.446,7.5,7.5,8.2,44.6,337.2,407
76,230290.805,454316.761,1.206,3.5,0.310,4.5,5.8,5.0,15.7,25.2,306
77,230316.516,454445.328,0.828,27.4,0.739,10.0,9.6,11.0,78.0,779.4,336
78,230311.681,454461.607,0.881,23.6,0.613,8.3,7.9,8.9,54.2,547.9,377
79,230314.203,454348.790,0.832,25.3,0.673,8.1,8.4,8.6,51.9,436.5,239
80,230294.863,454392.035,1.210,4.6,0.112,3.3,4.4,3.1,8.3,20.9,588
81,230323.677,454346.376,1.149,4.3,0.333,1.9,1.5,2.6,2.8,6.5,315
82,230293.189,454389.238,0.990,12.5,1.201,8.6,8.2,10.4,58.0,405.3,328
83,230313.075,454364.734,0.993,4.9,0.651,1.9,1.9,2.2,2.9,7.0,295
84,230309.884,454401.376,0.863,24.8,0.606,8.5,8.0,9.4,56.9,465.9,346
85,230298.578,454384.630,1.356,3.0,0.057,1.7,2.0,1.5,2.2,3.9,626
86,230302.690,454380.422,1.197,3.1,0.275,4.0,5.0,4.1,12.5,14.7,349
87,230325.480,454412.819,0.928,21.7,0.435,6.6,6.6,7.1,34.7,278.0,421
88,230315.192,454380.627,0.876,25.3,0.577,7.3,6.8,8.1,42.1,302.2,388
89,230339.165,454305.944,0.810,13.7,0.498,3.6,3.8,3.6,10.3,50.4,267
90,230303.524,454394.230,0.991,3.9,0.301,5.7,6.1,6.2,25.6,48.4,726
91,230328.886,454334.510,0.523,8.4,0.505,5.4,6.9,5.1,22.8,83.6,318
92,230321.958,454442.701,0.854,23.2,0.570,8.5,8.4,9.9,56.8,512.2,376
93,230313.903,454353.965,0.967,7.5,1.551,4.4,5.7,3.9,14.9,59.9,296
94,230335.774,454415.629,0.845,25.0,0.563,8.6,8.3,9.2,58.6,495.9,352
95,230294.574,454419.599,1.324,4.6,0.086,1.9,2.3,1.9,2.7,6.4,721
96,230315.489,454415.625,0.872,25.3,0.651,10.1,10.0,10.9,80.7,692.0,362
97,230292.522,454432.046,0.855,25.1,0.526,7.7,6.9,8.5,46.7,362.2,621
98,230327.497,454430.854,0.851,25.0,0.590,8.7,8.8,9.4,59.0,534.4,391
99,230303.464,454358.357,1.323,4.3,0.405,3.5,3.6,4.5,9.6,14.1,320
100,230256.685,454637.377,0.884,21.7,0.704,7.9,8.0,7.8,49.1,387.8,866
101,230310.981,454394.519,0.859,23.2,0.562,10.7,11.1,11.7,89.4,608.6,353
102,230299.398,454425.872,0.849,25.9,0.612,8.1,7.6,9.0,51.6,527.6,382
103,230292.529,454372.960,0.793,3.3,0.605,1.8,1.9,1.8,2.5,5.5,309
104,230289.985,454416.031,0.863,24.0,0.602,10.5,10.3,11.7,87.3,799.7,379
105,230266.518,454624.537,0.440,5.3,0.417,5.8,6.8,4.8,26.8,58.9,842
106,230296.706,454420.220,0.880,24.3,0.619,7.8,7.4,9.2,47.2,413.0,725
107,230305.584,454383.078,0.382,3.5,0.227,4.3,4.5,5.1,14.8,29.6,673
108,230299.075,454443.033,0.887,24.9,0.603,8.2,7.8,8.3,52.5,462.8,404
109,230312.487,454363.715,1.008,4.4,0.949,2.2,2.9,2.3,3.9,9.6,322
110,230329.969,454603.125,0.874,19.2,0.531,7.0,6.5,7.6,39.0,280.1,947
111,230337.199,454424.678,0.847,20.9,0.650,9.4,9.0,10.8,69.8,413.5,367
112,230307.325,454380.266,0.857,24.3,0.559,8.1,7.6,9.2,51.4,336.0,414
113,230322.125,454400.279,0.869,22.8,0.614,8.2,7.4,8.8,52.8,392.9,355
114,230339.682,454469.844,0.876,10.6,0.486,4.1,3.8,4.9,13.4,39.1,457
115,230326.130,454672.081,0.873,26.1,0.578,7.3,6.8,8.5,41.5,255.9,932
116,230328.245,454616.165,1.366,10.7,0.183,7.3,9.0,7.3,41.4,225.8,814
117,230303.279,454397.221,1.303,3.7,0.054,1.8,2.2,1.6,2.6,6.4,734
118,230293.189,454423.403,1.147,3.0,0.265,3.7,3.5,3.9,10.8,17.5,689
119,230339.610,454375.953,0.924,3.1,0.145,0.6,0.6,0.9,0.3,0.5,325
120,230233.365,454620.952,0.875,25.1,0.612,9.5,8.8,10.4,70.8,689.9,962
121,230285.488,454639.681,0.853,3.1,0.937,3.9,4.3,4.9,11.7,14.9,826
122,230301.381,454621.553,0.860,25.4,0.610,8.1,7.2,9.7,52.1,472.0,844
123,230334.538,454383.198,0.900,21.8,0.536,7.1,7.0,7.9,39.6,269.6,392
124,230331.762,454450.222,0.507,13.0,0.292,8.6,10.8,8.2,58.0,256.1,664
125,230283.817,454672.140,0.868,18.5,0.484,7.2,7.3,7.4,41.2,243.6,939
126,230306.752,454668.963,0.849,22.4,0.661,8.2,7.6,10.0,52.8,408.0,859
127,230270.367,454603.614,0.832,25.4,0.691,10.1,13.1,8.5,80.2,649.8,830
128,230304.287,454395.228,1.340,3.2,0.258,5.5,5.6,6.1,23.7,30.2,718
129,230330.366,454397.568,0.878,29.1,0.869,12.5,11.0,15.0,123.5,1213.9,333
130,230339.692,454619.758,0.838,3.4,0.198,0.5,0.3,0.7,0.2,0.4,1032
131,230324.843,454661.595,0.849,25.2,0.644,7.4,6.9,8.5,42.5,299.8,856
132,230288.555,454680.216,1.278,5.8,0.107,2.6,2.8,3.1,5.5,16.4,845
133,230339.400,454460.512,0.885,21.4,0.493,6.7,6.9,7.3,35.5,216.0,450
134,230309.711,454366.667,1.103,3.6,0.772,2.7,4.0,1.8,5.7,5.1,690
135,230257.113,454631.483,0.882,20.6,0.438,5.8,5.3,6.7,26.1,146.4,993
136,230282.345,454619.895,0.868,22.7,0.735,10.0,10.0,10.2,77.8,909.2,864
137,230324.117,454611.986,0.967,3.7,0.368,2.9,3.5,3.8,6.4,15.0,851
138,230284.375,454627.590,0.851,24.3,0.697,9.0,8.1,9.8,63.4,528.4,836
139,230298.862,454415.050,1.191,5.4,0.130,3.5,3.3,4.0,9.7,20.6,334
140,230236.658,454627.134,0.937,5.2,0.266,3.1,3.9,2.8,7.7,14.3,1098
141,230260.023,454600.330,0.449,3.8,0.073,2.7,2.2,3.9,5.8,9.0,858
142,230322.817,454622.392,0.888,21.5,0.465,6.2,5.8,7.4,30.0,163.4,849
143,230297.496,454394.421,0.953,4.1,0.855,4.9,4.7,6.4,18.8,48.3,503
144,230283.729,454675.750,0.843,21.5,0.562,8.0,7.8,8.0,50.1,316.0,850
145,230286.022,454679.932,0.860,6.9,0.216,2.3,2.7,1.9,4.0,14.2,1016
146,230270.590,454607.794,0.855,25.6,0.727,8.8,8.9,9.0,60.5,603.8,874
147,230310.871,454594.109,0.847,16.5,0.448,5.7,6.0,5.7,25.5,141.2,857
148,230323.498,454645.241,0.801,8.1,0.398,4.7,5.3,5.4,17.6,30.6,840
149,230324.434,454426.678,0.856,29.0,0.720,11.9,13.3,12.4,110.7,832.8,343
150,230259.901,454653.818,0.416,3.0,0.288,1.8,1.5,2.9,2.6,3.8,1127
151,230260.956,454648.342,0.874,23.4,0.663,8.4,7.9,8.5,55.2,452.3,927
152,230306.625,454644.623,0.850,23.8,0.633,8.3,8.2,9.1,54.6,397.1,894
153,230328.119,454448.627,0.851,25.1,0.638,10.0,9.8,11.0,78.4,625.6,619
154,230335.640,454618.548,0.850,24.1,0.549,6.6,6.7,7.0,34.6,281.0,880
155,230251.391,454645.559,0.950,4.3,0.921,1.9,2.7,1.6,2.9,4.9,1124
156,230308.201,454599.721,0.857,20.1,0.489,8.3,8.5,11.1,54.2,265.8,893
157,230321.700,454680.053,0.860,23.4,0.606,9.2,9.2,11.1,67.2,462.3,899
158,230313.092,454660.345,0.845,23.7,0.614,7.5,7.1,7.9,43.7,429.1,871
159,230311.232,454454.116,0.864,26.1,0.569,8.4,8.0,9.3,54.9,399.9,406
160,230225.644,454609.807,0.815,5.6,1.050,2.1,1.9,2.4,3.5,9.3,1189
161,230324.459,454610.942,1.019,3.3,1.207,2.8,2.6,4.0,6.0,13.6,1023
162,230313.164,454666.092,0.865,22.8,0.575,6.0,6.1,5.9,28.1,203.8,904
163,230311.167,454652.433,0.855,24.8,0.608,8.4,7.3,9.4,54.8,505.6,875
164,230318.686,454645.883,0.878,23.1,0.513,8.3,7.8,9.0,54.5,363.7,896
165,230255.035,454644.850,0.989,5.7,0.516,1.9,1.9,2.3,2.7,8.1,1125
166,230330.091,454674.693,0.861,25.5,0.558,5.7,5.9,6.4,25.7,184.1,903
167,230322.808,454670.632,0.867,26.1,0.547,6.5,5.5,8.2,32.8,223.9,920
168,230313.121,454635.161,0.873,22.3,0.624,7.9,7.6,9.0,49.4,361.7,873
169,230332.192,454629.861,0.846,24.3,0.568,7.2,7.5,7.6,40.8,336.2,854
170,230251.507,454647.033,0.958,4.6,1.049,1.3,1.6,1.4,1.4,2.4,1231
171,230236.850,454610.724,0.755,6.4,0.216,4.0,3.4,6.8,12.5,40.6,1053
172,230319.096,454677.661,0.856,23.7,0.558,6.9,6.4,8.0,37.9,277.4,913
173,230238.170,454626.080,0.825,3.3,0.621,1.9,2.6,1.8,2.7,4.4,1014
174,230258.921,454626.294,0.862,21.9,0.456,6.1,5.0,7.8,29.5,194.9,934
175,230259.904,454654.696,0.999,3.1,0.229,1.1,1.0,1.3,0.9,0.9,1215
176,230322.596,454667.925,0.869,24.1,0.619,6.3,6.9,5.7,31.0,161.3,908
177,230254.328,454646.866,0.817,4.4,0.470,1.2,1.2,1.5,1.2,1.7,1067
178,230267.983,454629.549,0.879,20.8,0.602,7.5,7.7,8.1,44.0,301.6,912
179,230288.663,454665.197,0.896,24.3,0.592,8.9,8.2,9.9,61.8,504.0,863
180,230263.066,454659.959,0.900,3.3,0.280,1.2,1.0,1.9,1.2,1.3,1236
181,230240.165,454628.327,0.663,5.0,0.462,2.4,2.6,2.3,4.5,8.8,1109
182,230253.393,454626.249,0.911,20.4,0.359,4.3,4.5,4.7,14.8,98.3,973
183,230265.305,454657.073,0.892,3.3,1.088,1.6,1.3,2.5,2.0,3.0,1020
184,230312.773,454667.457,0.880,28.6,0.488,7.6,6.4,9.4,45.7,320.7,978
185,230227.468,454611.569,0.954,3.3,0.280,1.7,1.9,1.9,2.1,3.6,1259
186,230298.799,454639.696,0.857,16.7,0.487,6.0,6.7,5.9,27.9,189.1,929
187,230231.040,454612.856,0.565,6.1,0.137,3.2,3.6,3.3,7.8,21.8,1121
188,230278.830,454652.882,0.880,18.2,0.545,6.6,5.9,8.2,34.7,240.6,923
189,230333.838,454660.281,0.842,26.0,0.679,8.2,8.2,8.9,52.5,467.3,890
190,230274.329,454623.896,0.864,24.7,0.592,7.7,7.7,8.8,46.2,327.8,1311
191,230225.892,454611.058,1.015,6.2,0.259,3.2,3.3,3.1,8.1,16.2,1149
192,230239.387,454630.405,1.084,3.8,0.346,2.1,2.5,2.2,3.4,5.5,1070
193,230280.068,454606.053,0.631,3.2,0.374,1.3,1.1,2.2,1.4,1.8,1028
194,230282.143,454665.263,0.862,21.9,0.771,6.7,5.5,9.0,35.6,264.1,1052
195,230254.225,454610.393,0.858,7.8,0.971,3.2,3.0,3.5,8.2,34.0,1433
196,230256.149,454643.628,0.857,5.6,0.708,2.8,3.8,2.6,6.0,16.0,1013
197,230253.864,454649.055,0.975,5.7,0.387,1.4,1.6,1.7,1.6,2.8,1131
198,230327.958,454666.517,0.868,24.4,0.559,7.1,7.0,7.7,39.9,236.2,931
199,230262.268,454653.629,0.824,18.3,0.595,8.3,8.4,8.1,54.2,380.9,906
200,230238.653,454625.173,0.948,4.5,0.263,1.6,1.7,1.7,2.0,3.6,1381
201,230237.529,454625.184,0.982,5.4,0.793,1.9,2.3,2.1,2.9,7.4,1165
202,230241.188,454629.747,0.881,3.4,0.574,1.3,1.1,1.4,1.3,2.2,1174
203,230279.590,454664.743,0.840,3.4,0.764,1.4,1.4,1.3,1.4,2.7,1082
204,230266.211,454661.391,1.311,3.6,0.204,2.0,2.6,1.7,3.0,6.0,1092
205,230236.803,454607.909,0.585,7.4,1.032,4.6,5.1,5.4,16.8,77.9,1443
206,230227.076,454613.270,0.887,5.3,0.398,2.3,2.3,2.6,4.2,11.6,1142
207,230293.048,454658.062,0.854,22.2,0.506,7.5,6.7,8.3,44.0,303.6,1315
208,230228.915,454610.155,0.808,3.9,0.703,1.1,1.1,1.4,1.0,1.7,1000
209,230294.199,454600.901,0.879,21.2,0.564,8.4,7.2,10.4,55.9,387.9,915
210,230256.507,454645.115,0.879,5.5,0.396,1.6,1.5,2.2,2.1,5.4,1432
211,230236.493,454628.501,0.948,4.0,0.346,1.7,2.8,1.6,2.2,3.0,1181
212,230253.477,454647.291,0.984,5.8,0.465,1.8,1.9,1.7,2.6,6.3,1183
213,230235.240,454604.936,0.819,8.3,0.900,5.0,5.1,5.7,19.4,112.6,1101
214,230239.610,454627.851,0.976,5.1,0.411,2.2,2.3,2.3,3.8,11.1,1135
215,230236.469,454625.723,1.112,4.4,0.449,1.3,1.5,1.5,1.4,2.4,1453
216,230252.802,454648.180,0.889,7.1,0.698,2.4,2.6,2.5,4.4,13.7,1145
217,230258.153,454642.696,0.478,4.8,0.222,2.1,2.0,2.4,3.3,5.6,1359
218,230278.655,454665.879,1.009,7.1,0.144,2.8,3.0,2.9,6.3,18.6,1046
219,230253.601,454644.238,0.913,3.7,0.509,1.4,1.8,1.6,1.6,2.6,997
220,230306.726,454654.273,1.334,11.6,0.066,7.0,6.8,8.1,38.9,204.4,1458
221,230264.697,454660.037,1.000,3.4,0.608,1.2,1.4,1.4,1.1,1.3,1262
222,230256.963,454642.242,0.936,5.3,0.475,2.0,2.2,2.4,3.1,7.6,1343
223,230235.753,454609.638,0.824,8.3,1.232,3.4,3.7,4.4,9.1,37.7,1106
224,230235.272,454622.183,0.900,4.0,0.834,2.9,3.1,3.2,6.6,15.0,1163
225,230297.392,454678.779,0.943,21.3,0.480,7.4,6.9,7.3,42.5,307.8,1464
226,230235.246,454626.525,0.934,3.0,0.212,1.6,1.4,2.5,2.1,2.9,1226
227,230241.032,454626.848,0.987,4.6,1.211,2.6,3.0,3.1,5.4,12.3,1385
228,230322.760,454602.961,0.348,3.5,0.136,8.2,8.2,9.8,52.5,73.6,1258
229,230318.529,454603.607,1.318,3.5,0.108,3.2,4.0,3.3,8.1,16.0,1043
230,230254.974,454612.519,0.860,4.3,0.429,3.1,4.1,2.6,7.7,14.0,1475
231,230252.981,454649.172,0.998,3.6,0.245,1.0,1.2,1.1,0.7,0.8,1280
232,230296.527,454666.985,0.893,10.1,0.162,4.9,7.1,4.9,18.6,75.7,1354
233,230297.346,454652.002,0.756,8.8,0.239,8.5,9.0,10.1,56.7,105.6,1282
234,230226.394,454612.173,0.830,4.6,0.204,1.5,2.8,1.0,1.8,1.5,1204
235,230228.134,454615.549,0.959,3.7,0.143,2.0,2.2,2.0,3.0,5.2,1491
236,230315.776,454632.446,0.877,21.7,0.486,7.0,7.3,7.4,38.5,289.7,1299
237,230288.532,454677.750,0.377,4.5,0.122,6.3,6.5,6.6,31.0,57.4,1421
238,230285.222,454679.243,0.720,4.9,0.660,2.4,3.2,2.0,4.5,11.4,1298
239,230233.272,454606.689,0.883,6.4,0.602,2.8,2.2,4.0,6.2,13.2,1081
240,230302.902,454671.146,0.387,6.1,0.118,4.1,5.0,4.2,13.3,31.3,1495
241,230254.368,454614.076,0.415,17.7,0.092,8.4,9.3,9.1,55.3,291.5,1281
242,230234.535,454607.851,0.912,8.1,0.675,2.0,2.9,1.9,3.2,8.4,1373
243,230326.996,454637.173,0.853,29.7,0.815,9.4,9.2,10.6,69.9,635.8,1287
244,230254.787,454608.917,0.331,3.1,0.051,2.9,2.2,3.6,6.7,7.7,1288
245,230239.856,454624.492,0.855,4.1,0.840,1.6,1.8,1.8,2.1,6.1,1525
246,230266.806,454652.848,0.889,4.8,0.786,2.3,2.6,2.3,4.0,10.3,1322
247,230227.949,454610.177,1.029,4.0,0.231,0.8,0.8,1.0,0.4,0.5,1452
248,230318.666,454626.120,0.856,26.0,0.678,7.1,6.9,7.9,40.1,303.2,1302
249,230228.064,454611.068,0.843,3.6,0.315,0.7,0.7,0.9,0.4,0.8,1195
250,230268.834,454646.378,0.432,3.5,0.234,4.1,4.5,4.7,13.4,18.0,1529
251,230285.075,454681.647,0.846,6.9,0.248,2.8,2.6,3.3,6.1,17.4,1333
252,230226.157,454610.023,0.821,5.0,0.415,1.6,1.7,1.8,2.0,3.8,1390
253,230227.349,454609.430,1.038,3.0,0.278,1.1,1.2,1.1,0.9,1.2,1428
254,230291.308,454644.127,0.853,25.2,0.654,6.6,5.9,7.4,34.4,303.2,1312
255,230296.083,454665.019,0.396,5.4,0.056,3.5,4.4,3.2,9.8,33.1,1539
256,230234.443,454608.728,0.945,7.6,0.413,2.3,2.6,2.9,4.3,16.1,1422
257,230241.769,454630.834,1.116,4.2,0.514,1.6,1.8,1.8,1.9,4.3,1530
258,230287.911,454681.209,0.929,8.1,0.587,2.8,4.1,2.3,6.2,18.3,1364
259,230240.342,454629.623,0.949,4.1,0.259,1.4,1.6,1.3,1.5,2.3,1264
260,230322.435,454713.644,0.872,24.9,0.533,7.9,8.0,9.3,48.8,350.3,1614
261,230296.733,454670.441,0.714,9.8,0.312,8.7,8.3,12.8,59.4,220.1,1410
262,230284.765,454678.433,0.930,4.3,0.325,3.1,3.1,3.6,7.6,20.5,1426
263,230247.955,454612.764,0.374,3.7,0.229,6.7,8.1,6.0,34.8,44.6,1488
264,230296.931,454668.251,0.856,7.7,0.174,3.1,2.6,3.4,7.3,17.4,1472
265,230271.515,454646.508,0.827,5.4,1.292,3.3,4.1,3.7,8.6,19.1,1546
266,230270.946,454667.399,0.890,3.1,0.844,1.3,1.6,1.1,1.4,2.2,1444
267,230266.393,454653.325,1.306,4.8,0.368,1.1,0.8,1.7,0.9,1.7,1552
268,230264.772,454659.364,0.973,3.4,0.488,1.1,0.9,1.3,0.9,1.0,1399
269,230277.512,454626.648,0.760,5.0,0.346,3.0,2.8,3.3,7.0,16.7,1300
270,230334.182,454731.833,0.855,20.3,0.344,6.1,7.8,5.7,29.1,98.9,1636
271,230281.538,454609.697,0.499,4.8,0.424,6.4,8.8,5.8,32.2,52.6,1463
272,230237.122,454623.052,0.844,24.7,0.640,8.4,7.4,9.6,55.1,530.3,1456
273,230300.444,454671.035,1.104,7.6,0.160,3.8,2.8,5.6,11.1,41.6,1531
274,230308.419,454610.087,0.878,21.8,0.649,11.0,12.0,11.9,94.8,619.3,1499
275,230255.402,454648.612,1.043,5.5,0.737,2.5,2.5,2.7,5.0,7.5,1551
276,230282.901,454666.800,0.814,6.1,0.681,5.0,4.4,6.1,20.0,63.6,1485
277,230312.232,454704.860,0.547,14.9,0.288,5.3,5.0,5.8,21.8,119.5,1556
278,230258.233,454645.179,0.807,4.1,0.815,2.1,2.3,2.4,3.6,7.7,1430
279,230307.919,454622.541,0.893,19.4,0.585,8.9,8.1,9.8,62.3,413.9,1308
280,230297.786,454687.572,0.862,24.0,0.494,7.5,8.6,7.4,44.6,309.7,1655
281,230267.601,454653.929,1.031,4.6,0.768,2.2,2.4,2.3,3.7,8.6,1469
282,230253.996,454608.096,0.359,3.6,0.364,3.8,3.1,5.3,11.6,23.8,1481
283,230241.513,454628.799,0.955,3.1,0.207,1.5,1.9,1.5,1.7,3.1,1544
284,230233.572,454607.208,1.287,7.8,0.253,2.5,2.3,2.5,4.8,14.9,1540
285,230317.668,454719.883,0.776,3.2,0.138,4.8,5.4,6.8,18.1,22.8,1571
286,230318.194,454695.365,0.854,24.6,0.539,7.7,7.6,8.8,46.7,333.9,1601
287,230325.581,454715.938,0.455,8.8,0.076,4.3,4.0,4.8,14.8,50.6,1563
288,230233.887,454604.466,0.875,6.2,0.926,2.7,2.8,3.4,5.8,17.6,1455
289,230279.207,454668.180,0.488,4.3,0.167,2.0,3.1,1.6,3.2,7.9,1434
290,230271.639,454668.337,0.795,3.0,0.793,1.5,1.5,1.7,1.7,2.5,1733
291,230280.386,454666.693,0.841,5.0,0.071,1.7,1.7,1.6,2.3,6.1,1478
292,230287.325,454682.166,0.846,4.8,0.130,1.4,1.6,1.5,1.5,3.0,1775
293,230312.005,454684.017,0.746,8.2,0.393,3.9,3.7,4.1,11.7,40.6,1603
294,230274.351,454670.395,0.861,3.8,1.281,4.2,4.5,5.2,13.9,22.8,1831
295,230329.553,454684.243,0.860,23.5,0.891,8.2,7.3,9.4,52.6,345.8,1577
296,230318.249,454715.453,0.865,26.6,0.540,8.0,7.5,9.8,50.6,261.6,1606
297,230326.736,454698.946,0.870,23.0,0.487,7.6,7.2,8.1,45.1,320.5,1634
298,230331.024,454689.639,0.437,25.4,0.735,10.1,8.6,13.0,80.4,571.5,1557
299,230286.420,454677.147,0.824,5.8,1.339,3.0,2.5,3.7,7.2,23.7,1522
