TreeID,TreePosX,TreePosY,TreePosZ,TreeHeight(metre),DBH(metre),CrownDiameter(metre),CrownDiameter(S-N)(metre),CrownDiameter(E-W)(metre),CrownArea(square metre),CrownVolume(cubic metre),OldID
4892,231130.310,455282.212,0.859,12.4,0.293,4.5,3.9,5.3,15.8,38.3,23764
4893,231121.806,455322.086,0.869,19.5,0.481,5.8,5.1,7.3,26.8,126.7,24700
4894,231093.165,455191.259,0.928,3.8,0.104,1.3,1.2,1.6,1.2,1.9,24070
4895,231094.495,455210.966,0.870,4.9,0.321,2.3,3.6,2.0,4.2,6.4,23909
4896,231076.651,455334.689,0.873,21.9,0.568,8.3,7.8,9.0,54.0,397.3,24518
4897,231143.887,455268.588,0.957,11.8,0.144,3.9,4.5,4.2,12.0,37.0,23822
4898,231128.624,455380.253,0.818,3.0,0.455,1.6,1.8,1.8,1.9,2.3,24451
4899,231142.159,455276.196,1.269,8.9,0.385,6.0,3.8,9.3,27.9,95.4,24390
4900,231125.362,455284.230,0.852,9.2,0.163,1.4,1.7,1.7,1.5,2.0,23916
4901,231092.098,455324.270,0.858,23.7,0.610,9.2,9.8,9.1,66.2,481.3,24574
4902,231142.584,455266.690,0.924,22.8,0.195,6.1,5.0,7.2,28.9,112.5,23767
4903,231120.455,455339.486,0.871,18.1,0.380,6.9,6.2,9.0,37.0,201.1,24721
4904,231085.005,455235.926,1.006,3.1,0.299,0.9,0.9,1.0,0.6,1.1,24071
4905,231139.927,455271.498,0.838,22.6,0.171,6.9,8.4,8.1,37.6,154.0,23953
4906,231130.524,455376.821,0.926,3.4,0.428,2.9,3.9,3.3,6.5,12.3,24521
4907,231077.602,455256.418,1.330,3.2,0.043,2.9,2.6,3.8,6.7,11.1,23889
4908,231134.648,455343.118,0.877,20.7,0.594,7.5,7.2,8.1,44.1,311.4,24530
4909,231051.026,455375.719,0.856,23.5,0.507,7.9,8.3,9.3,48.9,276.5,24411
4910,231092.449,455208.950,1.277,5.8,0.115,2.0,1.9,2.8,3.3,12.2,24136
4911,231099.472,455310.502,0.860,22.7,0.540,8.6,8.6,9.5,58.5,325.1,24582
4912,231104.542,455250.525,0.926,8.0,0.273,4.5,4.2,5.7,15.6,60.4,23881
4913,231135.643,455298.905,0.895,13.6,0.317,9.6,11.8,10.2,72.0,198.3,24774
4914,231048.012,455284.974,0.873,24.6,0.638,8.5,7.9,9.3,57.1,488.9,24208
4915,231106.821,455224.524,0.460,3.3,0.129,1.8,2.6,2.2,2.5,3.6,24011
4916,231098.770,455334.217,0.853,25.5,0.644,8.4,7.4,10.7,55.8,312.7,24533
4917,231130.447,455285.233,0.883,10.7,0.201,2.6,2.3,3.8,5.5,19.0,23958
4918,231056.707,455308.314,0.888,24.4,0.643,9.6,9.3,10.0,71.7,668.3,24544
4919,231091.576,455360.545,0.878,24.2,0.470,6.9,8.3,6.5,37.7,218.4,24426
4920,231081.732,455227.084,0.895,4.1,0.211,1.2,1.6,1.1,1.1,2.0,24154
4921,231129.478,455320.028,0.966,21.3,0.509,7.1,6.8,8.8,39.6,287.4,24584
4922,231087.018,455270.324,0.914,17.2,0.584,6.8,7.3,7.1,36.2,198.1,24273
4923,231105.633,455341.418,0.901,13.7,0.262,3.7,3.4,4.0,10.5,66.5,24798
4924,231078.175,455227.399,0.879,3.1,0.521,1.2,1.2,1.4,1.1,1.8,24270
4925,231142.700,455261.928,0.891,4.4,0.117,1.8,1.8,1.9,2.5,4.6,24112
4926,231137.676,455304.065,0.846,19.3,0.731,10.1,10.9,12.4,79.5,337.7,24541
4927,231093.418,455210.006,0.840,6.5,0.107,1.7,2.3,1.5,2.4,6.1,24150
4928,231078.569,455328.503,0.839,24.9,0.651,8.8,8.8,9.7,60.8,480.2,24550
4929,231083.087,455373.165,0.825,9.0,0.521,4.8,4.6,5.2,18.0,82.1,24579
4930,231069.682,455251.288,0.881,25.3,0.643,10.4,11.8,11.0,85.2,754.5,24272
4931,231109.458,455305.792,0.860,20.3,0.558,6.9,7.5,6.4,37.2,250.2,24594
4932,231096.126,455194.277,0.935,3.1,0.065,0.9,0.7,1.3,0.6,0.8,24302
4933,231108.090,455328.098,0.848,20.9,0.299,4.7,3.9,5.7,17.0,76.9,24809
4934,231065.426,455287.263,0.877,5.7,0.645,2.3,2.8,2.0,4.0,11.4,24297
4935,231093.360,455208.739,0.929,4.4,0.419,1.6,1.3,2.0,2.0,4.6,24117
4936,231118.471,455290.349,0.862,16.7,0.560,5.7,6.6,4.9,25.5,103.9,24571
4937,231085.429,455346.564,0.882,21.2,0.598,8.4,8.5,8.5,55.4,372.5,24508
4938,231089.968,455363.363,0.874,22.7,0.530,6.4,6.1,7.6,32.3,273.7,24560
4939,231122.277,455323.765,0.870,25.0,0.611,9.0,9.2,10.0,63.8,366.7,24593
4940,231067.794,455221.677,0.719,4.3,0.127,2.2,2.5,2.2,3.9,9.1,24337
4941,231130.441,455304.156,0.850,23.5,0.569,8.1,8.0,8.5,51.7,278.8,24608
4942,231134.757,455247.126,1.148,3.8,0.875,1.7,2.3,1.6,2.4,4.2,24360
4943,231071.528,455316.077,0.423,6.4,0.075,3.8,4.0,4.6,11.1,30.6,24842
4944,231149.742,455201.978,0.701,6.8,2.126,7.5,5.9,12.1,44.1,120.4,24320
4945,231073.874,455218.126,0.470,3.5,0.079,2.3,2.3,2.5,4.1,9.2,24195
4946,231104.618,455305.355,0.908,21.5,0.365,6.3,6.2,7.2,30.8,193.6,24744
4947,231062.912,455315.928,0.859,20.4,0.512,6.7,6.4,6.7,34.9,317.6,24569
4948,231085.460,455292.933,0.873,20.8,0.578,8.3,8.2,8.9,54.2,436.8,24578
4949,231142.810,455306.211,0.875,18.0,0.629,7.6,6.0,11.9,44.8,169.4,24596
4950,231076.521,455233.107,0.871,3.5,0.201,1.2,1.1,1.5,1.1,2.5,24371
4951,231141.937,455310.451,0.837,21.8,0.455,8.8,7.2,11.7,61.4,398.5,24626
4952,231084.946,455385.730,0.857,17.4,0.541,6.4,6.1,7.2,32.4,194.8,24399
4953,231126.761,455289.919,0.894,14.6,0.221,3.4,3.3,4.8,8.9,22.8,24855
4954,231134.001,455365.735,0.397,3.1,0.073,2.2,3.5,2.3,3.9,4.7,24440
4955,231090.599,455210.043,0.846,6.5,0.460,2.8,2.4,3.8,6.3,21.8,24372
4956,231125.024,455306.841,0.829,13.4,0.338,7.3,7.2,7.9,41.9,181.6,24749
4957,231111.923,455343.526,0.876,22.7,0.573,7.8,6.7,9.2,48.3,378.4,24570
4958,231126.717,455354.155,0.859,20.8,0.512,6.3,6.3,6.1,30.8,187.2,24595
4959,231080.051,455296.303,0.873,19.5,0.434,6.9,6.8,7.8,37.0,212.8,24663
4960,231123.537,455383.678,0.886,20.6,0.458,5.5,4.9,6.1,23.7,159.4,24409
4961,231071.211,455321.019,0.852,21.6,0.488,8.0,7.6,9.1,49.8,297.8,24639
4962,231144.179,455384.528,0.866,23.2,0.917,8.1,9.2,8.9,51.5,346.4,24400
4963,231113.841,455296.711,0.861,13.7,0.179,4.1,3.2,5.9,13.2,38.9,24889
4964,231099.192,455317.799,0.848,23.3,0.570,8.3,8.3,8.6,54.5,358.5,24489
4965,231066.652,455284.757,0.569,7.1,0.516,4.0,4.0,4.9,12.3,38.5,24381
4966,231110.819,455297.018,0.867,18.1,0.305,4.3,3.8,5.0,14.4,81.6,24750
4967,231130.862,455362.372,0.859,19.7,2.378,8.8,7.6,12.9,61.2,480.9,24598
4968,231085.251,455308.310,0.863,3.8,0.072,1.4,1.7,1.6,1.5,2.3,24610
4969,231050.649,455293.890,0.876,21.9,0.432,6.8,6.2,8.7,36.7,196.5,24666
4970,231064.520,455382.131,0.868,20.8,0.574,7.5,6.8,8.8,44.2,415.8,24412
4971,231050.734,455309.910,0.847,11.7,0.500,8.6,9.1,8.8,57.4,294.7,24646
4972,231077.675,455343.183,0.854,21.3,0.573,8.0,7.9,7.8,49.9,379.1,24442
4973,231075.820,455326.783,0.889,3.7,0.163,0.7,0.7,0.7,0.4,0.7,24950
4974,231132.808,455330.761,0.874,23.0,0.461,6.3,5.7,7.5,30.9,178.7,24519
4975,231140.814,455367.713,0.871,22.1,0.568,6.8,6.7,8.2,36.5,243.1,24497
4976,231111.455,455333.240,0.881,12.4,0.360,5.4,5.7,6.0,23.2,136.2,24849
4977,231123.682,455297.170,0.829,18.9,0.399,6.6,7.2,7.2,34.5,142.1,24635
4978,231131.112,455320.478,1.013,20.0,0.465,6.3,6.2,6.9,31.3,111.6,24632
4979,231108.214,455330.709,0.828,17.0,0.405,5.0,6.5,4.3,19.9,73.6,24688
4980,231113.145,455377.154,0.802,3.1,0.351,2.1,2.6,2.0,3.5,4.0,24414
4981,231086.262,455307.174,0.858,13.9,0.351,3.9,4.3,4.4,11.7,45.6,24659
4982,231101.747,455387.726,0.846,22.8,0.470,8.1,7.4,10.5,51.5,254.5,24465
4983,231124.887,455334.841,0.949,11.7,0.217,3.1,4.0,2.8,7.6,29.0,24960
4984,231140.784,455328.808,0.620,4.5,0.084,2.2,2.3,2.4,3.8,11.2,24561
4985,231147.285,455327.585,0.881,4.3,0.523,2.8,3.5,3.0,6.3,10.1,24499
4986,231125.777,455335.377,0.874,7.1,0.204,2.8,4.5,2.2,6.2,12.2,24884
4987,231128.838,455328.443,0.885,24.7,0.523,8.4,9.4,8.9,55.2,226.0,24642
4988,231125.761,455313.298,0.853,24.3,0.526,10.6,9.4,11.9,87.9,593.7,24656
